ID_REF	VALUE
7894038	2.989
7894039	5.258
7894040	2.681
7894041	8.100
7894042	7.045
7894043	10.806
7894044	7.945
7894045	3.299
7894046	6.242
7894047	2.692
7894048	6.872
7894049	5.326
7894050	3.626
7894051	12.175
7894052	5.951
7894053	2.695
7894054	4.802
7894055	8.003
7894056	6.784
7894057	8.906
7894058	10.256
7894059	6.245
7894060	5.248
7894061	7.870
7894062	8.677
7894063	6.688
7894064	3.055
7894065	4.472
7894066	2.691
7894067	7.848
7894068	9.856
7894069	2.878
7894070	11.301
7894071	2.713
7894072	8.548
7894073	3.693
7894074	8.958
7894075	4.440
7894076	8.501
7894077	3.715
7894078	6.829
7894079	3.970
7894080	5.646
7894081	5.752
7894082	3.605
7894083	10.573
7894084	2.582
7894085	6.785
7894086	10.252
7894087	8.645
7894088	5.240
7894089	8.171
7894090	3.786
7894091	3.651
7894092	6.069
7894093	2.983
7894094	4.326
7894095	4.480
7894096	5.483
7894097	3.691
7894098	11.864
7894099	2.399
7894100	10.065
7894101	3.540
7894102	10.056
7894103	3.733
7894104	9.075
7894105	2.744
7894106	5.207
7894107	9.902
7894108	4.348
7894109	4.182
7894110	10.594
7894111	4.634
7894112	5.195
7894113	2.608
7894114	12.445
7894115	8.991
7894116	5.503
7894117	7.868
7894118	11.605
7894119	8.324
7894120	4.312
7894121	5.014
7894122	12.100
7894123	2.192
7894124	5.917
7894125	9.719
7894126	7.365
7894128	4.316
7894129	4.983
7894130	2.233
7894131	8.010
7894132	6.261
7894133	2.710
7894134	8.685
7894135	9.625
7894136	10.059
7894137	2.246
7894138	6.227
7894139	3.092
7894140	4.527
7894141	3.559
7894142	4.686
7894143	2.309
7894144	3.677
7894145	9.585
7894146	6.495
7894147	4.248
7894148	7.512
7894149	2.972
7894150	2.560
7894151	3.027
7894152	4.834
7894153	6.231
7894154	5.686
7894155	6.530
7894156	4.132
7894157	4.872
7894158	7.515
7894159	4.969
7894160	6.939
7894161	6.533
7894162	3.898
7894163	4.709
7894165	5.760
7894166	2.291
7894167	4.828
7894168	2.953
7894169	2.749
7894170	2.858
7894171	11.146
7894172	2.667
7894173	4.142
7894174	4.987
7894175	2.095
7894176	8.065
7894177	3.846
7894178	3.830
7894179	3.799
7894180	5.554
7894181	6.257
7894182	3.163
7894183	3.494
7894184	4.519
7894185	12.320
7894186	10.846
7894187	3.566
7894188	7.821
7894189	6.849
7894190	2.412
7894191	3.188
7894192	10.075
7894193	3.605
7894194	4.764
7894195	10.053
7894196	6.165
7894197	3.265
7894198	1.998
7894199	2.305
7894200	2.964
7894201	3.941
7894202	5.044
7894203	6.451
7894204	6.993
7894205	8.741
7894206	2.731
7894207	9.484
7894208	3.014
7894209	8.157
7894210	5.490
7894211	8.454
7894212	9.209
7894213	9.172
7894214	9.906
7894215	4.655
7894216	3.904
7894217	3.928
7894218	5.652
7894219	4.871
7894220	7.415
7894221	4.577
7894222	2.712
7894223	10.195
7894224	5.255
7894225	5.643
7894226	8.109
7894227	3.351
7894228	3.277
7894229	4.359
7894230	3.450
7894231	5.696
7894232	8.298
7894233	5.214
7894234	4.846
7894235	7.233
7894236	12.311
7894237	5.598
7894238	2.414
7894239	11.127
7894240	3.991
7894241	4.678
7894242	2.765
7894243	2.173
7894244	5.173
7894245	2.552
7894246	6.144
7894247	4.559
7894248	2.262
7894249	8.548
7894250	2.390
7894251	4.421
7894252	9.488
7894253	3.535
7894254	5.489
