A	Coef.K97_mutYoung_wtYoung	Coef.K97_mutOld_wtOld	Coef.K97_wtOld_wtYoung	Coef.K97_mutOld_mutYoung	t.K97_mutYoung_wtYoung	t.K97_mutOld_wtOld	t.K97_wtOld_wtYoung	t.K97_mutOld_mutYoung	p.value.K97_mutYoung_wtYoung	p.value.K97_mutOld_wtOld	p.value.K97_wtOld_wtYoung	p.value.K97_mutOld_mutYoung	p.value.adj.K97_mutYoung_wtYoung	p.value.adj.K97_mutOld_wtOld	p.value.adj.K97_wtOld_wtYoung	p.value.adj.K97_mutOld_mutYoung	F	F.p.value	Res.K97_mutYoung_wtYoung	Res.K97_mutOld_wtOld	Res.K97_wtOld_wtYoung	Res.K97_mutOld_mutYoung
18.63407575	0.041896083	-0.917746747	-0.423382858	-1.383025688	0.169492	-4.08709888	-1.80650072	-5.81355138	0.86762719731	0.00093279383	0.0905180713	3.13791e-05	0.922827099623	0.005550538689	0.193688218114	0.000382469731	14.408996	9.942339e-05	0	-1	0	-1
18.08773044	0.150882825	-0.346274683	-0.143513365	-0.640670872	0.85772525	-2.16693375	-0.86045828	-3.78424157	0.40426188254	0.04638766246	0.40280049664	0.00174052839	0.573332988191	0.117056366993	0.571888177643	0.008923661444	5.21485657	0.01118217249	0	0	0	-1
18.44221694	0.116135985	1.155653748	-2.138950977	-1.099433214	0.32747256	3.58717323	-6.36118503	-3.22116112	0.74774214233	0.0026168773	1.157186e-05	0.00558317916	0.853430077636	0.012339436033	0.000177986298	0.021858992343	20.88895383	1.146443e-05	0	1	-1	-1
16.9320248	-0.080988499	0.819341437	-0.796176952	0.104152984	-0.23989313	2.67162742	-2.48732854	0.32055434	0.81359294393	0.01718263567	0.0248424587	0.75287844003	0.899967537289	0.05414625679	0.072289316753	0.857437731538	3.36196249	0.04632216993	0	0	0	0
16.55009121	-0.266226468	0.890725871	-0.872672272	0.284280066	-0.88453177	3.2577877	-3.05803512	0.98139558	0.39007895482	0.00517611419	0.00781563223	0.34164124061	0.560602902812	0.020717923458	0.028850848103	0.509700326643	4.69816707	0.01622573392	0	1	-1	0
17.8236528	0.051616127	0.717918604	-1.407498574	-0.741196097	0.23246661	3.55931877	-6.68578214	-3.46851661	0.81925225471	0.0027723072	6.53216e-06	0.00334610828	0.903419645488	0.012977611948	0.000117215998	0.014776025721	22.73442666	6.82621e-06	0	1	-1	-1
17.81534324	0.325329263	0.72480734	1.419816377	1.819294454	0.89366643	2.19175195	4.11351969	5.19267083	0.38532281902	0.0442365697	0.0008836096	0.00010209542	0.555310024464	0.112065976579	0.005334689724	0.001014671377	15.58521085	6.40435e-05	0	0	1	1
17.22218441	0.292564481	-1.059330565	-0.547286792	-1.899181839	0.98811154	-3.93851387	-1.94952327	-6.66478896	0.33844632227	0.00126600317	0.06977916743	6.7753e-06	0.505517512568	0.006855086581	0.159565812944	0.000118678208	17.11002495	3.750147e-05	0	-1	0	-1
16.85098225	0.279947808	-0.493769876	-0.895857873	-1.669575557	0.83385488	-1.61902852	-2.81437266	-5.16719635	0.41717365704	0.12583734975	0.01286894871	0.00010727263	0.583467006406	0.250319855052	0.043639584615	0.001049971535	11.55106462	0.00032564046	0	0	-1	-1
18.11458746	-0.04719708	0.01209971	-0.399283785	-0.339986995	-0.2463597	0.0695258	-2.19819031	-1.84396349	0.80867385401	0.94547039722	0.04369383896	0.0846133551	0.896829716209	0.968571136096	0.111126850273	0.18412194527	2.74877824	0.07855955843	0	0	0	0
16.84593957	-0.797558929	-0.688647596	-0.513267666	-0.404356333	-2.70135591	-2.56763074	-1.83354687	-1.42304541	0.01618237807	0.02117110677	0.08621984231	0.17476517628	0.051697998974	0.065126357022	0.186906101113	0.313606399657	5.97583736	0.00665666987	0	0	0	0
16.27809194	0.102095103	0.405544573	0.344460895	0.647910365	0.38733681	1.69370965	1.37832894	2.55407869	0.70383426361	0.11054664386	0.18789695089	0.02175202256	0.828191137145	0.22527801872	0.329840843137	0.0663614295	3.36485389	0.0462103428	0	0	0	0
16.92069956	-0.032623255	-0.638256774	-0.722885236	-1.328518755	-0.10779156	-2.32150376	-2.51916082	-4.56100582	0.91555991364	0.03442329931	0.02331980559	0.00035598021	0.950886984259	0.092849483728	0.069422094066	0.002555146859	9.69304724	0.00078664943	0	0	0	-1
16.9009697	0.051321204	-0.158579454	0.068851813	-0.141048846	0.11927681	-0.40571644	0.16877326	-0.34061534	0.90660592466	0.69056017764	0.86818286973	0.73801859224	0.945387291901	0.815542732639	0.922827099623	0.84832742097	0.06302852	0.97856904845	0	0	0	0
16.76572986	-0.026139017	-0.090606635	0.191714006	0.127246387	-0.10812347	-0.41257912	0.8363993	0.54690473	0.91530097827	0.68563027787	0.41578472836	0.59232093174	0.950886984259	0.813159708803	0.582639771191	0.734432479663	0.40319321	0.75277428597	0	0	0	0
16.74768945	-0.327727664	0.432799746	-0.919819841	-0.159292431	-1.32954163	1.93282414	-3.9356883	-0.67145894	0.20312599511	0.07195806963	0.00127339323	0.51192545296	0.347601040641	0.162836371824	0.006855100248	0.672846068386	5.52981924	0.00898487705	0	0	-1	0
18.94541054	-0.133565605	-0.65172423	0.58674746	0.068588835	-0.59817329	-3.21301502	2.77148598	0.31916943	0.55846362246	0.00567793853	0.01404055881	0.75390809832	0.705312805681	0.02216282954	0.046276535681	0.857437731538	5.53264334	0.00896750885	0	-1	1	0
19.63151418	-0.016153486	0.794161539	-0.379519148	0.430795877	-0.0758296	4.10391033	-1.87903679	2.10125872	0.94053594759	0.00090118575	0.07939833192	0.05255497244	0.965188597524	0.005390425873	0.175055707911	0.127394042022	5.61976476	0.00844982519	0	1	0	0
